thing,ts,prop_rssi,prop_temp,prop_ojfawje,prop_waterheater,prop_hvac,prop_main,prop_office,prop_other,prop_refrigerator,loc_lat,loc_lng,loc_heading,loc_speed,loc_corrId,loc_streetNumber,loc_street,loc_city,loc_state,loc_zipCode,loc_country,attr_m2x_deviceid
homepower,1.421329047526E9,null,null,null,4295.0,5.0,5338.0,260.0,484.0,7.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421329006523E9,null,null,null,4295.0,5.0,5037.0,260.0,484.0,7.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421328850025E9,null,null,null,4129.0,5.0,4800.0,260.0,551.0,3.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421328292528E9,null,null,null,4129.0,5.0,5137.0,260.0,640.0,138.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.42132888603E9,null,null,null,4295.0,5.0,4970.0,260.0,424.0,5.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421328132526E9,null,null,null,4129.0,5.0,4750.0,260.0,269.0,138.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421326406511E9,null,null,null,0.0,3.0,592.0,260.0,338.0,7.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421328332481E9,null,null,null,4129.0,5.0,5243.0,260.0,751.0,138.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.42132844604E9,null,null,null,4129.0,5.0,6642.0,260.0,644.0,138.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421327686022E9,null,null,null,4301.0,5.0,5280.0,260.0,480.0,138.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421327426522E9,null,null,null,4301.0,6.0,5249.0,260.0,339.0,138.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421328715122E9,null,null,null,4129.0,933.0,5404.0,260.0,105.0,3.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421328732524E9,null,null,null,4129.0,280.0,5141.0,260.0,492.0,3.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421328352482E9,null,null,null,4129.0,5.0,5135.0,260.0,644.0,138.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421328452041E9,null,null,null,4129.0,1703.0,6642.0,260.0,462.0,138.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421327692023E9,null,null,null,4301.0,5.0,5280.0,260.0,609.0,138.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421327246028E9,null,null,null,0.0,3.0,3890.0,260.0,526.0,4.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421328746524E9,null,null,null,4129.0,5.0,4904.0,260.0,492.0,3.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421328472039E9,null,null,null,4129.0,1943.0,7009.0,260.0,589.0,138.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421328886026E9,null,null,null,4295.0,5.0,4970.0,260.0,424.0,5.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421327246076E9,null,null,null,0.0,5.0,3890.0,260.0,526.0,3.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.42132742655E9,null,null,null,4301.0,6.0,5170.0,260.0,339.0,138.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421328605905E9,null,null,null,4129.0,1943.0,6838.0,260.0,509.0,3.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421328266531E9,null,null,null,4129.0,5.0,5403.0,260.0,409.0,138.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421329106034E9,null,null,null,4295.0,5.0,6365.0,260.0,1815.0,7.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421326146025E9,null,null,null,0.0,3.0,592.0,260.0,338.0,3.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421329086037E9,null,null,null,4295.0,5.0,6365.0,260.0,1815.0,34.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421327266019E9,null,null,null,4301.0,5.0,5031.0,260.0,277.0,3.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.42132828653E9,null,null,null,4129.0,5.0,5137.0,260.0,909.0,138.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421327686026E9,null,null,null,4301.0,5.0,5280.0,260.0,480.0,138.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421328272526E9,null,null,null,4129.0,5.0,5403.0,260.0,909.0,138.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.42132638651E9,null,null,null,0.0,3.0,592.0,260.0,338.0,4.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421328792522E9,null,null,null,4129.0,5.0,4904.0,260.0,551.0,3.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421327246033E9,null,null,null,0.0,5.0,3890.0,260.0,526.0,3.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421329052526E9,null,null,null,4295.0,5.0,5338.0,260.0,788.0,7.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421328972527E9,null,null,null,4295.0,6.0,5037.0,260.0,484.0,7.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.42132727202E9,null,null,null,4301.0,5.0,5031.0,260.0,476.0,3.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421327066028E9,null,null,null,0.0,3.0,846.0,260.0,389.0,72.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421328252025E9,null,null,null,4129.0,5.0,4905.0,260.0,409.0,138.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421329072023E9,null,null,null,4295.0,5.0,6365.0,260.0,1815.0,7.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421327266019E9,null,null,null,4301.0,5.0,5031.0,260.0,277.0,3.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421328715029E9,null,null,null,4129.0,1943.0,5404.0,260.0,105.0,3.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421328466041E9,null,null,null,4129.0,1943.0,7009.0,260.0,462.0,138.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421328967528E9,null,null,null,4295.0,6.0,5037.0,260.0,373.0,7.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421328466041E9,null,null,null,4129.0,1943.0,7009.0,260.0,462.0,138.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421328526521E9,null,null,null,4129.0,1943.0,6952.0,260.0,589.0,138.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421327726531E9,null,null,null,4129.0,5.0,5110.0,260.0,609.0,138.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421327932521E9,null,null,null,4129.0,5.0,4992.0,260.0,506.0,138.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421326146025E9,null,null,null,0.0,3.0,592.0,260.0,338.0,3.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421327927521E9,null,null,null,4129.0,5.0,4992.0,260.0,559.0,138.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421328166025E9,null,null,null,4129.0,5.0,4807.0,260.0,269.0,138.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421327891734E9,null,null,null,4129.0,5.0,5046.0,260.0,559.0,138.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421329146036E9,null,null,null,4295.0,5.0,6365.0,260.0,1815.0,72.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.42132772653E9,null,null,null,4129.0,5.0,5110.0,260.0,609.0,138.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421328746524E9,null,null,null,4129.0,5.0,4904.0,260.0,492.0,3.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421328866523E9,null,null,null,4129.0,5.0,4851.0,260.0,424.0,3.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421327246076E9,null,null,null,3360.0,5.0,3890.0,260.0,526.0,3.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421327412524E9,null,null,null,4301.0,5.0,5249.0,260.0,339.0,355.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421328070029E9,null,null,null,4129.0,5.0,4804.0,260.0,268.0,138.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421327432523E9,null,null,null,4301.0,6.0,5170.0,260.0,480.0,138.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421328726025E9,null,null,null,4129.0,280.0,5141.0,260.0,105.0,3.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421327119983E9,null,null,null,0.0,3.0,789.0,260.0,526.0,7.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421328326482E9,null,null,null,4129.0,5.0,5243.0,260.0,640.0,138.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421328906027E9,null,null,null,4295.0,5.0,4970.0,260.0,424.0,7.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421328126027E9,null,null,null,4129.0,5.0,4750.0,260.0,321.0,138.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421329047526E9,null,null,null,4295.0,5.0,5338.0,260.0,484.0,7.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421326972025E9,null,null,null,0.0,3.0,644.0,260.0,389.0,7.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421328072027E9,null,null,null,4129.0,5.0,4804.0,260.0,321.0,138.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421328852021E9,null,null,null,4129.0,5.0,4800.0,260.0,424.0,3.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.42132888603E9,null,null,null,4295.0,5.0,4970.0,260.0,424.0,5.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421327977513E9,null,null,null,4129.0,5.0,4860.0,260.0,373.0,138.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421327426523E9,null,null,null,4301.0,6.0,5249.0,260.0,339.0,138.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.419537131277E9,null,null,null,0.0,3.0,758.0,253.0,499.0,8.0,null,null,null,null,null,null,null,null,null,null,null,null
